Feature,COANC_B01-T0-1_neg_4282025_018,COANC_B01-T0-1_neg_4282025_019,COANC_B01-T0-1_neg_4282025_020,COANC_B01-T0-2_neg_4282025_021,COANC_B01-T0-2_neg_4282025_022,COANC_B01-T0-2_neg_4282025_023,COANC_B01-T1-1_neg_4282025_024,COANC_B01-T1-1_neg_4282025_025,COANC_B01-T1-1_neg_4282025_026,COANC_B01-T1-2_neg_4282025_027,COANC_B01-T1-2_neg_4282025_028,COANC_B01-T1-2_neg_4282025_029,COANC_B01-T2-1_neg_4282025_030,COANC_B01-T2-1_neg_4282025_031,COANC_B01-T2-1_neg_4282025_032,COANC_B01-T2-2_neg_4282025_033,COANC_B01-T2-2_neg_4282025_034,COANC_B01-T2-2_neg_4282025_035,COANC_B01-T3-1_neg_4282025_036,COANC_B01-T3-1_neg_4282025_037,COANC_B01-T3-1_neg_4282025_038,COANC_B01-T3-2_neg_4282025_039,COANC_B01-T3-2_neg_4282025_040,COANC_B01-T3-2_neg_4282025_041,COANC_B01-T4-1_neg_4282025_042,COANC_B01-T4-1_neg_4282025_043,COANC_B01-T4-1_neg_4282025_044,COANC_B01-T4-2_neg_4282025_045,COANC_B01-T4-2_neg_4282025_046,COANC_B01-T4-2_neg_4282025_047,COANC_B01-T5-1_neg_4282025_048,COANC_B01-T5-1_neg_4282025_049,COANC_B01-T5-1_neg_4282025_050,COANC_B01-T5-2_neg_4282025_051,COANC_B01-T5-2_neg_4282025_052,COANC_B01-T5-2_neg_4282025_053,COANC_B01-T6-1_neg_4282025_054,COANC_B01-T6-1_neg_4282025_055,COANC_B01-T6-1_neg_4282025_056,COANC_B01-T6-2_neg_4282025_057,COANC_B01-T6-2_neg_4282025_058,COANC_B01-T6-2_neg_4282025_059,COANC_B01-T7-1_neg_4282025_060,COANC_B01-T7-1_neg_4282025_061,COANC_B01-T7-1_neg_4282025_062,COANC_B01-T7-2_neg_4282025_063,COANC_B01-T7-2_neg_4282025_064,COANC_B01-T7-2_neg_4282025_065,COANC_QC_neg_4282025_005,COANC_QC_neg_4282025_006,COANC_QC_neg_4282025_007,COANC_QC_neg_4282025_008,COANC_QC_neg_4282025_009,COANC_QC_neg_4282025_010,COANC_QC_neg_4282025_011,Extraction-blank_neg_4282025_003,Extraction-blank_neg_4282025_004,Extraction-blank_neg_4282025_067,Extraction-blank_neg_4282025_116,Extraction-blank_neg_4282025_168,Extraction-blank_neg_4282025_217,Instrument-blank_neg_4282025_001,Instrument-blank_neg_4282025_002,Instrument-blank_neg_4282025_066,Instrument-blank_neg_4282025_118,Instrument-blank_neg_4282025_167,Instrument-blank_neg_4282025_219
Group,T0,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,T1,T2,T2,T2,T2,T2,T2,T3,T3,T3,T3,T3,T3,T4,T4,T4,T4,T4,T4,T5,T5,T5,T5,T5,T5,T6,T6,T6,T6,T6,T6,T7,T7,T7,T7,T7,T7,QC,QC,QC,QC,QC,QC,QC,Blank,Blank,Blank,Blank,Blank,Blank,Iblank,Iblank,Iblank,Iblank,Iblank,Iblank
193.0344997 @ 23.83064652213092,53201.01005,55943.09686,57694.81038,46477.34668,45556.01142,46216.17079,53216.25744,54253.72854,52173.64638,45793.10769,44753.08207,44074.96482,50000.25634,51041.08147,49427.87751,50289.27183,50866.10372,49104.80017,51140.03573,51186.57921,51434.39097,49843.75014,49131.85397,49944.5691,57083.27906,57106.8905,56512.84419,55395.32236,56166.35179,55665.91776,62922.15372,63292.37847,62440.59746,68901.86762,67080.347,68032.27788,47726.41396,47249.5992,47231.57652,43424.65808,42431.66267,42671.01869,50388.533,53589.96463,55056.40567,51591.36091,50249.69811,52393.67685,42162.29104,38984.05928,40916.78064,38150.1874,37649.1302,37631.50951,36586.50157,0,0,0,0,0,0,0,0,0,0,0,0
132.101255 @ 26.84265388150259,4842052.233,4876694.911,4596780.125,4003209.291,3892473.571,4153231.661,3802103.997,3686127.345,3657904.757,3716196.632,3686636.729,3989761.14,4330779.694,4254370.657,4275521.078,4545444.806,4642034.49,4676715.873,4269382.011,4287107.433,4491227.574,4883805.67,5207800.553,4975504.932,4099142.734,4230268.876,4128405.391,4291358.079,4219700.572,4215276.249,4533365.206,4644695.191,4840780.577,5000371.65,5061460.474,5093833.575,4913598.773,5009860.399,4758361.12,4142488.462,4221986.99,4249793.93,5017607.522,4981107.805,4800018.642,5064755.616,5142010.076,4638325.292,3502384.064,3519291.392,3489759.03,3768198.589,3831994.555,3620427.285,3745907.062,457.5603822,2405.329779,1082.512511,1403.213555,291.0523389,304.4229513,0,0,0,0,0,0
153.0184557 @ 203.5689180840966,75406.44219,97443.32815,78703.60194,87589.61606,88958.90932,78576.46924,80162.23374,82930.2162,78331.56124,79923.80969,69862.92108,80467.80685,88341.96864,70724.23868,72859.25772,65201.05655,78542.75141,78213.24682,64226.84997,75607.57463,85167.73463,75221.15419,71345.694,76104.42215,70807.6218,71639.10779,77710.67405,66893.95102,73423.03957,74589.61328,72086.89487,74805.028,61023.80277,66963.31921,64250.0688,67760.36816,74242.12795,61014.19026,64193.62553,80883.12428,65691.22553,71108.37498,81716.20861,64536.26323,74167.5743,83729.35774,77424.74875,79116.49052,110832.6892,106946.2311,111081.5871,106293.8692,101998.7708,103884.859,104665.3964,154457.8471,149946.837,200708.8845,254346.3678,214929.1836,191154.2746,0,0,0,0,0,0
253.1171203 @ 51.2782047495453,514468.0151,503569.9692,489703.0407,473841.9052,482803.1566,476618.6394,452434.2832,439982.315,447013.5471,464416.2618,471599.2737,470869.3129,488476.223,469284.896,478844.8145,524047.6787,517601.3901,516861.6639,514826.3252,510323.3865,523872.5536,572728.3785,576274.4373,585129.1573,526492.4399,510158.6949,523856.8397,481822.6566,481414.283,489364.0966,557901.5644,554176.1343,572885.9315,597308.3615,601277.1902,610504.4628,625377.2302,630808.8327,614307.4852,532115.6857,541672.2568,548578.5102,591733.315,596481.0107,578505.5577,572331.8133,565973.3804,537438.1123,490789.5301,467834.9041,462820.916,463690.5914,456760.097,459312.4904,449249.4149,0,0,0,0,0,0,0,0,0,0,0,0
247.1424633 @ 155.1027074198688,46901.14487,46218.76815,45884.39766,27881.7145,28531.94541,28712.71713,45235.29706,46020.72718,43555.47982,26459.58524,27239.81071,27457.033,37480.44501,33203.29266,32852.60744,13979.54252,26411.32108,26045.51815,36621.15892,36677.01284,37575.79252,47593.04774,47098.17034,50524.9005,43663.96796,42445.87127,44650.51259,27895.97291,29718.50283,29134.01965,37311.83666,39758.05124,40329.0931,30574.03181,30083.70838,29622.28447,19851.36784,27657.20849,26132.33919,14043.37345,13336.3165,14969.9844,27185.37349,32072.27034,23945.21061,14851.09877,21208.60553,19261.00773,25527.95382,26256.78604,26316.51053,25915.44996,26717.71153,25553.53527,27246.68467,0,0,0,0,0,0,0,0,0,0,0,0
496.3373404 @ 470.0776716732942,166866.6157,119799.5562,113985.2491,182415.5591,177202.2532,183312.9776,110410.3461,122487.3789,48187.8118,165786.1174,164667.2177,171285.7726,148402.652,133942.6445,186236.6272,176994.4502,183299.5678,160595.1868,128828.8634,142210.558,144576.6795,217641.0317,221799.4986,161781.7096,136258.9498,174358.4664,181581.7635,193899.7302,192353.2777,197534.9489,141925.3219,182886.7345,160807.6758,218110.1556,222195.6175,223022.0439,117981.6039,126209.5863,169598.3804,153814.621,182493.1551,160394.1624,120935.9362,116031.6826,181721.6366,59842.42737,99405.26523,64019.31255,183941.7078,178004.8651,184046.7573,185174.6731,186890.4494,191245.5114,183251.4354,3422.745153,40188.32878,36163.16335,41343.74807,49655.0862,52449.35644,319.8862289,0,0,0,0,0
295.1637103 @ 176.4926726705269,540922.2005,536399.309,517607.7582,493930.9364,496108.9982,504286.8998,467456.7723,469503.4664,457400.1276,472565.0398,478534.2603,486677.8762,465532.641,449988.1631,445256.041,517547.7009,504755.3166,497879.7224,519770.2504,526419.173,518485.9294,553662.6014,569228.0972,566690.4309,536652.4147,523977.6704,536020.0765,476363.9756,476541.5468,482690.3934,603929.0635,607336.0072,617885.4333,613280.5318,615721.2825,614921.8801,591152.741,617861.7338,591237.6386,486128.9287,492154.6755,495764.353,594163.8344,585755.5287,563483.4943,536224.465,531190.7797,505121.3146,504933.6787,493172.7514,488095.1708,488639.8211,482640.185,482511.602,472725.4258,0,0,0,0,0,0,0,0,0,0,0,0
608.4129607 @ 583.268451457488,1168752.948,1164799.646,1144540.447,1150224.676,1145585.175,1159208.986,1127972.943,1107953.799,1083870.134,1102303.521,1074570.193,1109665.945,1137016.149,1094223.566,1089402.808,1144029.327,1117867.995,1106006.968,1009027.37,1021170.384,1017662.411,1109817.053,1117707.212,1120287.645,1094251.781,1057775.399,1088656.449,1111435.485,1103356.613,1130354.911,1149209.075,1173786.574,1181816.216,1153711.06,1173431.253,1168557.686,1162993.916,1170008.998,1155038.413,1110399.921,1127572.019,1138041.526,1080729.552,1065779.648,1024973.919,1028124.546,1021094.543,977794.8814,1216789.219,1192112.082,1195408.514,1210322.255,1182682.49,1198664.144,1171995.981,657849.7242,661745.0631,734575.7513,740715.06,770698.6181,785033.8045,0,0,0,0,0,0
231.1691059 @ 105.4683346248446,892100.7066,886667.8828,869256.249,862645.2509,885928.2416,838843.7697,831204.0364,783815.6127,792657.9227,866263.1269,886790.0743,893873.6206,837413.6861,813424.1337,859196.6959,938885.0679,910829.9821,857772.3644,843773.351,907679.6067,907510.3762,925648.4711,939400.0789,927826.6136,898950.9553,892810.9607,899397.4029,858264.36,839278.9707,864995.0685,952921.339,894259.211,903520.0375,907838.9705,923510.4158,947906.8015,1030649.979,1025708.205,1054590.998,825645.0193,772521.6242,778524.8654,864419.2795,890468.5816,858291.766,852664.9587,859313.8684,817820.9329,896358.9881,847085.6674,883829.3302,880945.4024,863708.6615,857400.7613,840499.3734,0,0,0,0,0,0,0,0,0,0,0,0
